date,product_name,category,customer_id,region,quantity,unit_price,revenue,inventory,cost,profit,profit_margin
2024-01-01,Desk Lamp,Furniture,CUST_0190,East,1,53.81,53.81,92,32.29,21.520000000000003,39.99
2024-01-01,Standing Desk,Furniture,CUST_0189,North,10,513.71,5137.05,35,3082.23,2054.82,40.0
2024-01-01,Desk Lamp,Furniture,CUST_0140,North,1,65.98,65.98,153,39.59,26.39,40.0
2024-01-01,Pen Set,Stationery,CUST_0008,North,2,11.3,22.59,1154,13.55,9.04,40.02
2024-01-01,Standing Desk,Furniture,CUST_0155,North,1,587.75,587.75,51,352.65,235.10000000000002,40.0
2024-01-01,Notebook A4,Stationery,CUST_0167,Central,1,4.69,4.69,1305,2.81,1.8800000000000003,40.09
2024-01-01,Keyboard Mech,Electronics,CUST_0151,East,4,93.75,374.99,206,225.0,149.99,40.0
2024-01-01,Laptop Pro X1,Electronics,CUST_0041,West,1,1233.27,1233.27,73,739.96,493.30999999999995,40.0
2024-01-01,Monitor 27inch,Electronics,CUST_0056,East,1,464.52,464.52,79,278.71,185.81,40.0
2024-01-01,Wireless Mouse,Electronics,CUST_0025,East,1,47.49,47.49,371,28.49,19.000000000000004,40.01
2024-01-01,Monitor 27inch,Electronics,CUST_0012,West,2,398.98,797.95,57,478.77,319.18000000000006,40.0
2024-01-01,Notebook A4,Stationery,CUST_0097,North,2,4.72,9.44,1766,5.66,3.7799999999999994,40.04
2024-01-01,Notebook A4,Stationery,CUST_0161,Central,1,5.07,5.07,1178,3.04,2.0300000000000002,40.04
2024-01-02,Monitor 27inch,Electronics,CUST_0181,North,1,388.61,388.61,67,233.16,155.45000000000002,40.0
2024-01-02,Laptop Pro X1,Electronics,CUST_0198,East,1,1159.92,1159.92,61,695.95,463.97,40.0
2024-01-02,Wireless Mouse,Electronics,CUST_0026,West,2,42.04,84.09,270,50.45,33.64,40.0
2024-01-02,USB-C Hub,Electronics,CUST_0094,South,4,49.08,196.3,320,117.78,78.52000000000001,40.0
2024-01-02,Monitor 27inch,Electronics,CUST_0172,East,5,383.25,1916.23,60,1149.74,766.49,40.0
2024-01-02,Cable Manager,Accessories,CUST_0166,North,3,21.24,63.72,495,38.23,25.490000000000002,40.0
2024-01-03,Pen Set,Stationery,CUST_0137,South,1,11.39,11.39,1119,6.83,4.5600000000000005,40.04
